match_id,home_team,away_team
3356885,Newcastle,Crystal Palace
3356891,Wolves,West Ham
3356888,Arsenal,Fulham
3356890,Notts Forest,Man Utd
3356889,Brighton,Aston Villa
3356887,Bournemouth,Ipswich
3356893,Man City,Leicester
3356894,Newcastle,Brentford
3356895,Southampton,Crystal Palace
3356896,Liverpool,Everton
3356892,Chelsea,Tottenham
3356900,Everton,Arsenal
3356906,West Ham,Bournemouth
3356902,Ipswich,Wolves
3356899,Crystal Palace,Brighton
3356897,Aston Villa,Notts Forest
3356898,Brentford,Chelsea
3356901,Fulham,Liverpool
3356905,Tottenham,Southampton
3356904,Man Utd,Man City
3356903,Leicester,Newcastle
3356912,Man City,Crystal Palace
3356914,Notts Forest,Everton
3356915,Southampton,Aston Villa
3356909,Brighton,Leicester
3356908,Arsenal,Brentford
3356916,Wolves,Tottenham
3356911,Liverpool,West Ham
3356910,Chelsea,Ipswich
3356913,Newcastle,Man Utd
3356907,Bournemouth,Fulham
3356920,Everton,Man City
3356926,West Ham,Southampton
3356918,Brentford,Brighton
3356919,Crystal Palace,Bournemouth
3356917,Aston Villa,Newcastle
3356924,Man Utd,Wolves
3356922,Ipswich,Arsenal
3356921,Fulham,Chelsea
3356923,Leicester,Liverpool
3356925,Tottenham,Notts Forest
3356932,Man City,Aston Villa
3356928,Arsenal,Crystal Palace
3356930,Chelsea,Everton
3356935,Southampton,Fulham
3356929,Brighton,West Ham
3356936,Wolves,Leicester
3356933,Newcastle,Ipswich
3356927,Bournemouth,Man Utd
3356931,Liverpool,Tottenham
3356934,Notts Forest,Brentford
3356945,Man City,Wolves
3356938,Aston Villa,Fulham
3356943,Everton,Ipswich
3356944,Leicester,Southampton
3356937,Arsenal,Bournemouth
3356946,West Ham,Tottenham
3356939,Brentford,Man Utd
3356940,Brighton,Newcastle
3356941,Chelsea,Liverpool
3356942,Crystal Palace,Notts Forest
3356949,Ipswich,Brentford
3356954,Southampton,Man City
3356956,Wolves,Brighton
3356948,Fulham,Everton
3356947,Bournemouth,Aston Villa
3356952,Newcastle,Chelsea
3356955,Tottenham,Crystal Palace
3356951,Man Utd,West Ham
