Unnamed: 0,NAME,TEAM,POS,NAT,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,FOULS,FOULED,TACKLES ATT/WON,AERIALS ATT/WON,DUELS ATT/WON,CLEAR,ERR CHANCE,ERR GOAL,POSS LOST,OFFSIDE,TOUCHES,INTERCEP,RECOV,LAST MAN TACKLE,PASSES,PASS COMP %,FINAL THIRD,LONG BALL,PEN,SHOTS,ON TARGET,BLOCKED,DRIBBLES,TOUCHES IN BOX,BIG CHANCE,CROSSES,SAVES,GOALS CON,PEN CON,PEN SAVE,DECISIVE,FIRST,EQUALISER,PEN WON,RATING,MATCH_ID
,L. Díaz,Liverpool,AML,,Colombia,90,-,-,-,-,3,-,1/1,3/2,16/8,1,-,-,10,-,53,-,6,-,34,85%,21,2,-,3,-,1,5,11,1,-,-,-,-,-,-,-,-,-,7.4,3356598
,Diogo Jota,Liverpool,S,,Portugal,79,1,-,-,-,-,1,1/0,5/3,13/6,1,-,-,12,-,32,1,3,-,14,57%,10,3,-,3,1,-,1,11,-,1,-,-,-,-,1,1,-,-,7.5,3356598
,I. Konaté,Liverpool,D,,France,45,-,-,-,-,-,-,0/0,4/3,5/4,2,-,-,2,-,36,1,2,-,30,93%,1,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6.8,3356598
,K. Tsimikas,Liverpool,D,,Greece,11,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356598
,C. Gakpo,Liverpool,F,,Netherlands,11,-,-,1,-,1,-,0/0,0/0,0/0,1,-,-,3,-,11,-,-,-,7,100%,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-,,3356598
,C. Bradley,Liverpool,D,,Northern Ireland,13,-,-,-,-,-,-,0/0,1/1,0/2,1,-,-,4,-,32,-,1,-,22,91%,6,1,-,2,1,1,1,3,-,-,-,-,-,-,-,-,-,-,,3356598
,C. Walton,Ipswich,GK,,England,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,9,-,48,-,10,-,35,74%,4,15,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,6.1,3356598
,A. Tuanzebe,Ipswich,DR,,DR Congo,74,-,-,-,-,-,1,3/2,3/0,9/4,1,-,-,5,-,40,1,2,-,24,92%,4,2,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6.0,3356598
,L. Woolfenden,Ipswich,DCR,,England,90,-,-,1,-,1,-,0/0,2/1,3/1,7,-,-,7,-,75,4,3,-,52,90%,6,6,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6.3,3356598
,J. Greaves,Ipswich,DCL,,England,90,-,-,-,-,-,3,0/0,5/3,8/6,8,-,-,5,-,48,2,2,-,30,83%,5,2,-,2,1,1,-,2,-,-,-,-,-,-,-,-,-,-,6.5,3356598
,L. Davis,Ipswich,DL,,England,90,-,-,-,-,2,1,4/2,0/0,8/5,4,-,-,14,1,53,-,2,-,29,83%,13,3,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,6.0,3356598
,Sam Morsy,Ipswich,DMCR,,Egypt,90,-,-,-,-,-,2,5/1,2/1,11/8,1,-,-,12,-,58,-,4,-,45,80%,12,6,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,5.6,3356598
,M. Luongo,Ipswich,DMCL,,Australia,65,-,-,-,-,1,1,2/1,1/1,5/4,1,-,-,4,-,27,-,4,-,19,84%,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,3356598
,W. Burns,Ipswich,AMR,,Wales,57,-,-,1,-,2,1,0/0,2/1,6/2,-,-,-,9,-,22,-,3,-,13,62%,5,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,5.1,3356598
,C. Chaplin,Ipswich,AMC,,England,65,-,-,-,-,-,2,2/2,3/0,7/4,-,-,-,7,-,30,-,2,-,23,70%,7,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5.8,3356598
,O. Hutchinson,Ipswich,AML,,England,90,-,-,1,-,1,4,0/0,3/0,13/7,-,-,-,12,-,33,-,6,-,18,56%,9,2,-,3,1,1,3,3,-,1,-,-,-,-,-,-,-,-,5.6,3356598
,L. Delap,Ipswich,S,,England,74,-,-,-,-,1,1,0/0,3/1,7/2,2,-,-,10,-,21,-,3,-,12,50%,4,3,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,5.5,3356598
,S. Szmodics,Ipswich,M,,Republic of Ireland,16,-,-,-,-,-,1,0/0,0/0,3/1,-,-,-,3,2,9,1,1,-,4,100%,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,3356598
,B. Johnson,Ipswich,M,,England,33,-,-,-,-,-,-,4/2,2/1,8/5,1,-,-,4,-,21,1,1,-,9,78%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.9,3356598
,J. Taylor,Ipswich,M,,Republic of Ireland,25,-,-,-,-,1,-,0/0,0/0,0/0,2,-,-,4,-,23,-,1,-,19,79%,7,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,5.8,3356598
,M. Harness,Ipswich,M,,England,25,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,6,1,16,-,2,-,14,64%,9,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,5.7,3356598
,Ali Al Hamadi,Ipswich,F,,Iraq,16,-,-,-,-,-,-,0/0,3/2,3/2,1,-,-,-,1,3,-,-,-,1,100%,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5.6,3356598
,N. Pope,Newcastle,GK,,England,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,16,-,30,-,9,-,24,33%,6,22,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,6.9,3356601
,V. Livramento,Newcastle,DR,,England,90,-,-,-,-,-,1,2/2,4/1,9/4,2,-,-,10,-,37,-,3,-,14,57%,6,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,6.3,3356601
,F. Schär,Newcastle,DCR,,Switzerland,27,-,-,-,1,2,-,0/0,0/0,0/0,1,-,-,2,-,13,-,-,-,11,82%,3,2,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,5.2,3356601
,D. Burn,Newcastle,DCL,,England,90,-,-,1,-,3,-,0/0,3/1,6/1,10,-,-,6,-,30,-,4,-,18,72%,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.6,3356601
,L. Hall,Newcastle,DL,,England,70,-,-,1,-,2,-,0/0,0/0,0/0,1,-,-,16,-,42,1,2,-,20,60%,1,2,-,-,-,-,-,1,-,5,-,-,-,-,-,-,-,-,5.9,3356601
,S. Longstaff,Newcastle,MCR,,England,90,-,-,-,-,-,-,3/3,1/0,6/3,1,-,-,5,-,23,-,2,-,15,73%,6,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,6.4,3356601
,B. Guimaraes,Newcastle,MC,,Brazil,90,-,-,-,-,2,6,6/4,0/0,17/12,2,-,-,13,-,54,1,4,-,25,72%,11,5,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,6.9,3356601
,Joelinton,Newcastle,MCL,,Brazil,90,1,-,-,-,4,3,1/1,5/4,15/8,6,-,-,10,-,38,1,3,-,16,63%,9,1,-,2,1,1,-,3,-,-,-,-,-,-,1,1,-,-,7.7,3356601
,J. Murphy,Newcastle,WR,,England,30,-,-,-,-,1,1,3/3,0/0,6/4,-,-,-,3,-,13,-,3,-,7,86%,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,3356601
,A. Isak,Newcastle,S,,Sweden,90,-,1,-,-,-,1,1/1,0/0,3/2,3,-,-,5,1,22,1,2,-,10,80%,5,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,6.7,3356601
,A. Gordon,Newcastle,WL,,England,70,-,-,-,-,-,4,0/0,1/0,7/5,-,-,-,9,-,27,-,3,-,14,71%,9,-,-,-,-,-,1,1,-,3,-,-,-,-,-,-,-,-,5.6,3356601
,E. Krafth,Newcastle,D,,Sweden,60,-,-,-,-,-,-,0/0,2/1,3/1,6,-,-,2,-,14,-,2,-,3,67%,1,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,6.2,3356601
,L. Kelly,Newcastle,D,,England,20,-,-,-,-,-,-,0/0,0/0,0/0,2,-,-,1,-,5,-,-,-,2,50%,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.9,3356601
,H. Barnes,Newcastle,M,,England,20,-,-,-,-,1,-,0/0,0/0,0/0,-,-,-,4,-,5,-,2,-,2,50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.5,3356601
,A. McCarthy,Southampton,GK,,England,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,3356601
,T. Harwood-Bellis,Southampton,DR,,England,90,-,-,1,-,2,-,1/1,3/0,6/1,2,-,-,12,-,101,-,4,-,91,89%,21,5,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,6.8,3356601
,J. Bednarek,Southampton,DC,,Poland,81,-,-,-,-,-,1,0/0,3/2,4/3,3,-,-,5,-,87,1,5,-,82,94%,13,8,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,7.0,3356601
,J. Stephens,Southampton,DL,,England,90,-,-,1,-,1,-,1/0,1/0,4/1,2,-,-,7,1,99,-,3,-,90,93%,26,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,7.0,3356601
,Y. Sugawara,Southampton,MR,,Japan,45,-,-,-,-,-,1,0/0,1/1,0/3,1,-,-,13,-,41,-,-,-,26,58%,8,2,-,-,-,-,1,1,1,3,-,-,-,-,-,-,-,-,6.2,3356601
,W. Smallbone,Southampton,MCR,,Republic of Ireland,90,-,-,-,-,3,-,2/2,1/0,7/3,-,-,-,20,-,76,-,3,-,48,90%,22,-,-,4,-,4,1,9,-,12,-,-,-,-,-,-,-,-,6.7,3356601
,F. Downes,Southampton,MC,,England,90,-,-,-,-,5,2,2/1,1/1,12/5,2,-,-,11,-,103,-,3,-,89,93%,28,2,-,1,-,1,-,2,-,1,-,-,-,-,-,-,-,-,7.0,3356601
,J. Aribo,Southampton,MCL,,Nigeria,70,-,-,-,-,-,2,2/1,1/1,7/6,2,-,-,8,-,50,1,2,-,37,89%,13,1,-,1,-,1,1,3,1,2,-,-,-,-,-,-,-,-,7.0,3356601
,K. W-Peters,Southampton,ML,,England,81,-,-,-,-,2,2,0/0,1/0,9/4,-,-,-,12,-,85,-,3,-,66,91%,22,1,-,2,-,1,2,2,-,4,-,-,-,-,-,-,-,-,6.8,3356601
,A. Armstrong,Southampton,FCR,,England,90,-,-,-,-,-,-,2/0,0/0,4/2,-,-,-,8,-,35,-,2,-,23,83%,12,1,-,5,2,2,-,6,-,1,-,-,-,-,-,-,-,-,6.1,3356601
,B. Brereton Díaz,Southampton,FCL,,Chile,70,-,-,1,-,-,1,1/1,3/3,7/5,1,-,-,8,1,33,-,5,-,25,80%,12,-,-,2,-,1,-,4,-,1,-,-,-,-,-,-,-,-,6.1,3356601
,S. Edozie,Southampton,F,,England,45,-,-,1,-,2,1,2/0,0/0,8/4,-,-,-,8,-,32,-,1,-,22,86%,20,-,-,-,-,-,1,8,-,1,-,-,-,-,-,-,-,-,6.3,3356601
,C. Archer,Southampton,F,,England,20,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,3,-,7,-,1,-,3,67%,1,-,-,2,1,-,-,3,-,1,-,-,-,-,-,-,-,-,6.0,3356601
,T. Dibling,Southampton,F,,England,20,-,-,-,-,-,3,0/0,0/0,4/3,-,-,-,3,-,20,-,-,-,13,100%,10,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5.9,3356601
,C. Alcaraz,Southampton,M,,Argentina,9,-,-,-,-,1,-,0/0,1/1,4/1,-,-,-,2,-,18,1,2,-,11,100%,10,1,-,1,1,-,-,2,-,1,-,-,-,-,-,-,-,-,,3356601
,S. Ameyaw,Southampton,F,,England,9,-,-,-,-,-,1,0/0,0/0,3/1,-,-,-,2,-,9,-,-,-,4,100%,4,-,-,1,-,1,-,2,-,1,-,-,-,-,-,-,-,-,,3356601
,José Sá,Wolves,GK,,Portugal,90,-,-,-,-,-,-,0/0,0/0,0/1,3,-,-,17,-,50,-,6,-,39,56%,6,26,-,-,-,-,1,-,-,-,4,2,-,-,-,-,-,-,6.4,3356599
,M. Doherty,Wolves,DR,,Republic of Ireland,90,-,-,-,-,-,1,2/2,3/1,7/5,3,-,-,11,-,55,1,2,-,33,79%,9,1,-,2,-,1,1,2,-,-,-,-,-,-,-,-,-,-,6.2,3356599
,Y. Mosquera,Wolves,DCR,,Colombia,90,-,-,-,-,2,2,3/2,5/3,12/8,-,-,-,8,-,56,-,3,-,46,85%,12,5,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5.9,3356599
,Toti Gomes,Wolves,DCL,,Portugal,90,-,-,1,-,1,-,2/1,1/1,7/3,1,-,-,10,1,66,-,2,-,57,89%,6,4,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,5.7,3356599
,R. Aït-Nouri,Wolves,DL,,Algeria,84,-,-,-,-,2,2,4/3,0/0,12/6,1,-,-,9,-,62,1,5,-,39,95%,15,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.4,3356599
,João Gomes,Wolves,DMCR,,Brazil,84,-,-,1,-,3,-,2/2,2/0,12/4,-,-,-,8,-,46,-,5,-,37,86%,12,2,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,6.1,3356599
,M. Lemina,Wolves,DMCL,,Gabon,90,-,-,-,-,1,1,2/0,3/2,8/5,2,-,-,9,-,54,5,5,-,38,84%,4,6,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,6.6,3356599
,Hwang Heechan,Wolves,AMR,,Korea Republic,90,-,-,-,-,-,5,0/0,2/1,12/7,-,-,-,12,-,39,-,4,-,21,76%,9,-,-,-,-,-,1,2,1,1,-,-,-,-,-,-,-,-,6.3,3356599
,J. Bellegarde,Wolves,AMC,,Haiti,57,-,-,-,-,2,3,1/1,3/0,13/4,-,-,-,6,-,28,-,2,-,16,88%,3,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5.8,3356599
,Rodrigo Gomes,Wolves,AML,,Portugal,75,-,-,-,-,-,1,0/0,3/2,8/4,-,-,-,11,-,26,-,2,-,15,67%,6,1,-,1,-,-,1,4,-,4,-,-,-,-,-,-,-,-,5.6,3356599
,J. Strand Larsen,Wolves,S,,Norway,84,-,-,-,-,2,-,0/0,4/2,7/2,1,-,-,8,-,20,-,1,-,12,67%,5,-,-,1,1,-,-,4,-,-,-,-,-,-,-,-,-,-,5.9,3356599
,Matheus Cunha,Wolves,F,,Brazil,33,-,-,-,-,-,2,2/1,1/0,6/4,2,-,-,1,-,17,-,2,-,8,100%,2,-,-,1,1,-,-,1,-,1,-,-,-,-,-,-,-,-,6.3,3356599
,C. Dawson,Wolves,D,,England,6,-,-,-,-,-,-,0/0,1/1,2/1,1,-,-,1,-,5,-,2,-,3,100%,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356599
,Pablo Sarabia,Wolves,M,,Spain,6,-,-,-,-,-,-,1/0,1/0,5/3,-,-,-,3,-,12,-,-,-,6,83%,1,1,-,1,1,-,2,1,-,1,-,-,-,-,-,-,-,-,,3356599
,Daniel Podence,Wolves,M,,Portugal,15,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356599
,Chiquinho,Wolves,F,,Portugal,6,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356599
,David Raya,Arsenal,GK,,Spain,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,9,-,41,-,8,-,32,72%,6,14,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,7.1,3356599
,B. White,Arsenal,DR,,England,90,-,-,-,-,2,-,1/1,2/0,7/1,-,-,-,10,-,53,1,1,-,40,80%,12,3,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,6.4,3356599
,W. Saliba,Arsenal,DCR,,France,90,-,-,-,-,1,-,4/3,3/3,8/7,3,1,-,9,-,72,1,1,-,62,87%,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.9,3356599
,Gabriel Magalhães,Arsenal,DCL,,Brazil,90,-,-,-,-,2,-,1/0,2/2,5/3,3,-,-,12,-,76,1,2,-,66,82%,5,9,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,6.4,3356599
,O. Zinchenko,Arsenal,DL,,Ukraine,69,-,-,-,-,3,-,0/0,5/3,10/4,2,-,-,11,-,70,2,4,-,53,87%,15,4,-,-,-,-,1,3,-,1,-,-,-,-,-,-,-,-,6.8,3356599
,M. Odegaard,Arsenal,MCR,,Norway,90,-,-,-,-,-,1,1/1,0/0,12/5,-,-,-,10,-,52,-,5,-,32,88%,19,1,-,1,1,-,3,4,-,1,-,-,-,-,-,-,-,-,6.7,3356599
,T. Partey,Arsenal,MC,,Ghana,90,-,-,-,-,3,3,3/2,0/0,10/6,3,-,-,6,-,50,-,3,-,37,89%,8,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.7,3356599
,D. Rice,Arsenal,MCL,,England,85,-,-,-,-,-,2,0/0,3/1,6/3,1,-,-,6,-,41,2,3,-,26,100%,14,2,-,1,-,-,-,3,-,5,-,-,-,-,-,-,-,-,6.7,3356599
