match_id,home_team,away_team,match_key
3356765,Tottenham,Liverpool,Tottenham-Liverpool
3356772,Man City,Everton,Man City-Everton
3356775,Southampton,West Ham,Southampton-West Ham
3356767,Bournemouth,Crystal Palace,Bournemouth-Crystal Palace
3356773,Newcastle,Aston Villa,Newcastle-Aston Villa
3356770,Chelsea,Fulham,Chelsea-Fulham
3356774,Notts Forest,Tottenham,Notts Forest-Tottenham
3356776,Wolves,Man Utd,Wolves-Man Utd
3356771,Liverpool,Leicester,Liverpool-Leicester
3356769,Brighton,Brentford,Brighton-Brentford
3356768,Arsenal,Ipswich,Arsenal-Ipswich
3356783,Leicester,Man City,Leicester-Man City
3356781,Fulham,Bournemouth,Fulham-Bournemouth
3356785,Tottenham,Wolves,Tottenham-Wolves
3356780,Everton,Notts Forest,Everton-Notts Forest
3356779,Crystal Palace,Southampton,Crystal Palace-Southampton
3356786,West Ham,Liverpool,West Ham-Liverpool
3356777,Aston Villa,Brighton,Aston Villa-Brighton
3356782,Ipswich,Chelsea,Ipswich-Chelsea
3356784,Man Utd,Newcastle,Man Utd-Newcastle
3356778,Brentford,Arsenal,Brentford-Arsenal
3356795,Tottenham,Newcastle,Tottenham-Newcastle
3356793,Man City,West Ham,Man City-West Ham
3356794,Southampton,Brentford,Southampton-Brentford
3356790,Crystal Palace,Chelsea,Crystal Palace-Chelsea
3356787,Bournemouth,Everton,Bournemouth-Everton
3356788,Aston Villa,Leicester,Aston Villa-Leicester
3356789,Brighton,Arsenal,Brighton-Arsenal
3356791,Fulham,Ipswich,Fulham-Ipswich
3356792,Liverpool,Man Utd,Liverpool-Man Utd
3356796,Wolves,Notts Forest,Wolves-Notts Forest
3356803,West Ham,Fulham,West Ham-Fulham
3356798,Brentford,Man City,Brentford-Man City
3356804,Chelsea,Bournemouth,Chelsea-Bournemouth
3356802,Notts Forest,Liverpool,Notts Forest-Liverpool
3356799,Everton,Aston Villa,Everton-Aston Villa
3356801,Leicester,Crystal Palace,Leicester-Crystal Palace
3356805,Newcastle,Wolves,Newcastle-Wolves
3356797,Arsenal,Tottenham,Arsenal-Tottenham
3356800,Ipswich,Brighton,Ipswich-Brighton
3356806,Man Utd,Southampton,Man Utd-Southampton
3356814,Newcastle,Bournemouth,Newcastle-Bournemouth
3356812,Leicester,Fulham,Leicester-Fulham
3356816,West Ham,Crystal Palace,West Ham-Crystal Palace
3356808,Brentford,Liverpool,Brentford-Liverpool
3356807,Arsenal,Aston Villa,Arsenal-Aston Villa
3356810,Everton,Tottenham,Everton-Tottenham
3356813,Man Utd,Brighton,Man Utd-Brighton
3356815,Notts Forest,Southampton,Notts Forest-Southampton
3356811,Ipswich,Man City,Ipswich-Man City
3356809,Chelsea,Wolves,Chelsea-Wolves
3356824,Southampton,Newcastle,Southampton-Newcastle
3356819,Brighton,Everton,Brighton-Everton
3356817,Bournemouth,Notts Forest,Bournemouth-Notts Forest
3356826,Wolves,Arsenal,Wolves-Arsenal
3356822,Liverpool,Ipswich,Liverpool-Ipswich
3356823,Man City,Chelsea,Man City-Chelsea
3356825,Tottenham,Leicester,Tottenham-Leicester
3356820,Crystal Palace,Brentford,Crystal Palace-Brentford
3356818,Aston Villa,West Ham,Aston Villa-West Ham
3356821,Fulham,Man Utd,Fulham-Man Utd
3356835,Notts Forest,Brighton,Notts Forest-Brighton
3356834,Newcastle,Fulham,Newcastle-Fulham
3356831,Everton,Leicester,Everton-Leicester
3356832,Ipswich,Southampton,Ipswich-Southampton
3356827,Bournemouth,Liverpool,Bournemouth-Liverpool
3356836,Wolves,Aston Villa,Wolves-Aston Villa
3356833,Man Utd,Crystal Palace,Man Utd-Crystal Palace
3356829,Brentford,Tottenham,Brentford-Tottenham
3356828,Arsenal,Man City,Arsenal-Man City
3356830,Chelsea,West Ham,Chelsea-West Ham
3356838,Brighton,Chelsea,Brighton-Chelsea
3356841,Leicester,Arsenal,Leicester-Arsenal
3356837,Aston Villa,Ipswich,Aston Villa-Ipswich
3356843,Man City,Newcastle,Man City-Newcastle
3356846,West Ham,Brentford,West Ham-Brentford
3356844,Southampton,Bournemouth,Southampton-Bournemouth
3356840,Fulham,Notts Forest,Fulham-Notts Forest
3356839,Crystal Palace,Everton,Crystal Palace-Everton
3356842,Liverpool,Wolves,Liverpool-Wolves
3356845,Tottenham,Man Utd,Tottenham-Man Utd
3356853,Leicester,Brentford,Leicester-Brentford
3356850,Everton,Man Utd,Everton-Man Utd
3356852,Ipswich,Tottenham,Ipswich-Tottenham
3356856,Southampton,Brighton,Southampton-Brighton
3356847,Bournemouth,Wolves,Bournemouth-Wolves
3356851,Fulham,Crystal Palace,Fulham-Crystal Palace
3356848,Arsenal,West Ham,Arsenal-West Ham
3356849,Aston Villa,Chelsea,Aston Villa-Chelsea
3356855,Newcastle,Notts Forest,Newcastle-Notts Forest
3356854,Man City,Liverpool,Man City-Liverpool
3356862,Wolves,Fulham,Wolves-Fulham
3356858,Brighton,Bournemouth,Brighton-Bournemouth
3356863,Crystal Palace,Aston Villa,Crystal Palace-Aston Villa
3356864,Chelsea,Southampton,Chelsea-Southampton
3356860,Tottenham,Man City,Tottenham-Man City
3356859,Notts Forest,Arsenal,Notts Forest-Arsenal
3356857,Brentford,Everton,Brentford-Everton
3356866,Man Utd,Ipswich,Man Utd-Ipswich
3356865,Liverpool,Newcastle,Liverpool-Newcastle
3356861,West Ham,Leicester,West Ham-Leicester
3356873,Notts Forest,Man City,Notts Forest-Man City
3356870,Crystal Palace,Ipswich,Crystal Palace-Ipswich
3356868,Brighton,Fulham,Brighton-Fulham
3356871,Liverpool,Southampton,Liverpool-Southampton
3356867,Brentford,Aston Villa,Brentford-Aston Villa
3356876,Wolves,Everton,Wolves-Everton
3356874,Tottenham,Bournemouth,Tottenham-Bournemouth
3356869,Chelsea,Leicester,Chelsea-Leicester
3356872,Man Utd,Arsenal,Man Utd-Arsenal
3356875,West Ham,Newcastle,West Ham-Newcastle
3356879,Aston Villa,Liverpool,Aston Villa-Liverpool
3356884,Man City,Brighton,Man City-Brighton
3356880,Everton,West Ham,Everton-West Ham
3356882,Ipswich,Notts Forest,Ipswich-Notts Forest
3356886,Southampton,Wolves,Southampton-Wolves
3356877,Bournemouth,Brentford,Bournemouth-Brentford
3356881,Fulham,Tottenham,Fulham-Tottenham
3356878,Arsenal,Chelsea,Arsenal-Chelsea
3356883,Leicester,Man Utd,Leicester-Man Utd
