Date,Home,Away,match_key
2025-04-13,Wolves,Tottenham,Wolves-Tottenham
2025-04-13,Newcastle,Man Utd,Newcastle-Man Utd
2025-04-14,Bournemouth,Fulham,Bournemouth-Fulham
2025-04-16,Newcastle,Crystal Palace,Newcastle-Crystal Palace
2025-04-19,Everton,Man City,Everton-Man City
2025-04-19,West Ham,Southampton,West Ham-Southampton
2025-04-19,Crystal Palace,Bournemouth,Crystal Palace-Bournemouth
2025-04-19,Brentford,Brighton,Brentford-Brighton
2025-04-19,Aston Villa,Newcastle,Aston Villa-Newcastle
2025-04-20,Fulham,Chelsea,Fulham-Chelsea
2025-04-20,Ipswich,Arsenal,Ipswich-Arsenal
2025-04-20,Man Utd,Wolves,Man Utd-Wolves
2025-04-20,Leicester,Liverpool,Leicester-Liverpool
2025-04-21,Tottenham,Notts Forest,Tottenham-Notts Forest
2025-04-22,Man City,Aston Villa,Man City-Aston Villa
2025-04-23,Arsenal,Crystal Palace,Arsenal-Crystal Palace
2025-04-26,Chelsea,Everton,Chelsea-Everton
2025-04-26,Brighton,West Ham,Brighton-West Ham
2025-04-26,Wolves,Leicester,Wolves-Leicester
2025-04-26,Southampton,Fulham,Southampton-Fulham
2025-04-26,Newcastle,Ipswich,Newcastle-Ipswich
2025-04-27,Bournemouth,Man Utd,Bournemouth-Man Utd
2025-04-27,Liverpool,Tottenham,Liverpool-Tottenham
2025-05-01,Notts Forest,Brentford,Notts Forest-Brentford
2025-05-02,Man City,Wolves,Man City-Wolves
2025-05-03,Aston Villa,Fulham,Aston Villa-Fulham
2025-05-03,Leicester,Southampton,Leicester-Southampton
2025-05-03,Everton,Ipswich,Everton-Ipswich
2025-05-03,Arsenal,Bournemouth,Arsenal-Bournemouth
2025-05-04,Brighton,Newcastle,Brighton-Newcastle
2025-05-04,West Ham,Tottenham,West Ham-Tottenham
2025-05-04,Brentford,Man Utd,Brentford-Man Utd
2025-05-04,Chelsea,Liverpool,Chelsea-Liverpool
2025-05-05,Crystal Palace,Notts Forest,Crystal Palace-Notts Forest
2025-05-10,Ipswich,Brentford,Ipswich-Brentford
2025-05-10,Fulham,Everton,Fulham-Everton
2025-05-10,Wolves,Brighton,Wolves-Brighton
2025-05-10,Southampton,Man City,Southampton-Man City
2025-05-10,Bournemouth,Aston Villa,Bournemouth-Aston Villa
2025-05-11,Newcastle,Chelsea,Newcastle-Chelsea
2025-05-11,Notts Forest,Leicester,Notts Forest-Leicester
2025-05-11,Tottenham,Crystal Palace,Tottenham-Crystal Palace
2025-05-11,Man Utd,West Ham,Man Utd-West Ham
2025-05-11,Liverpool,Arsenal,Liverpool-Arsenal
2025-05-16,Aston Villa,Tottenham,Aston Villa-Tottenham
