NAME;POS;NAT;COUNTRY;MINUTES_PLAYED;GOALS;ASSISTS;YELLOW_CARDS;RED_CARDS;FOULS;FOULED;TACKLES ATT/WON;AERIALS ATT/WON;DUELS ATT/WON;CLEAR;ERR CHANCE;ERR GOAL;POSS LOST;OFFSIDE;TOUCHES;INTERCEP;RECOV;LAST MAN TACKLE;PASSES;PASS COMP %;FINAL THIRD;LONG BALL;PEN;SHOTS;ON TARGET;BLOCKED;DRIBBLES;TOUCHES IN BOX;BIG CHANCE;CROSSES;SAVES;GOALS CON;PEN CON;PEN SAVE;DECISIVE;FIRST;EQUALISER;PEN WON;RATING
Pedro Neto;F;0.0;Portugal;9;0.0;0.0;0.0;0.0;0.0;0.0;1/1;0/0;0/1;0.0;0.0;0.0;4.0;0.0;9.0;0.0;1.0;0.0;5.0;80%;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
M. Travers;GK;0.0;Republic of Ireland;90;0.0;0.0;0.0;0.0;0.0;1.0;0/0;0/0;0/1;1.0;0.0;0.0;12.0;0.0;47.0;0.0;8.0;0.0;31.0;61%;4.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;7.7
J. Hill;DR;0.0;England;23;0.0;0.0;0.0;0.0;0.0;0.0;0/0;0/0;0/0;1.0;0.0;0.0;3.0;0.0;7.0;0.0;0.0;0.0;3.0;33%;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4
I. Zabarnyi;DCR;0.0;Ukraine;90;0.0;0.0;0.0;0.0;0.0;0.0;2/1;2/1;6/3;8.0;1.0;0.0;16.0;0.0;65.0;1.0;2.0;0.0;48.0;71%;7.0;12.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4
Dean Huijsen;DCL;0.0;Spain;90;0.0;0.0;1.0;0.0;1.0;1.0;2/2;2/2;8/5;4.0;0.0;0.0;7.0;0.0;66.0;4.0;7.0;0.0;51.0;86%;8.0;10.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.7
M. Kerkez;DL;0.0;Hungary;90;0.0;0.0;0.0;0.0;1.0;2.0;3/2;3/1;11/6;2.0;0.0;0.0;8.0;0.0;51.0;0.0;5.0;0.0;29.0;90%;5.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.9
L. Cook;DMCR;0.0;England;90;0.0;0.0;0.0;0.0;2.0;0.0;2/1;3/2;9/5;2.0;0.0;0.0;10.0;1.0;45.0;0.0;7.0;0.0;27.0;78%;7.0;6.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.3
T. Adams;DMCL;0.0;United States;90;0.0;0.0;0.0;0.0;1.0;0.0;2/1;1/1;4/3;3.0;0.0;0.0;12.0;0.0;59.0;0.0;5.0;1.0;49.0;80%;10.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0
D. Brooks;AMR;0.0;Wales;83;0.0;0.0;1.0;0.0;1.0;3.0;0/0;3/1;8/4;2.0;0.0;0.0;6.0;0.0;29.0;1.0;1.0;0.0;16.0;81%;8.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.9
R. Christie;AMC;0.0;Scotland;90;0.0;1.0;1.0;0.0;5.0;2.0;1/1;2/0;15/3;0.0;1.0;0.0;4.0;0.0;25.0;2.0;2.0;0.0;17.0;88%;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4
A. Semenyo;AML;0.0;Ghana;90;1.0;0.0;0.0;0.0;3.0;3.0;2/1;3/2;18/8;0.0;0.0;0.0;11.0;0.0;37.0;0.0;2.0;0.0;18.0;78%;8.0;1.0;0.0;1.0;1.0;0.0;2.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.2
D. Ouattara;S;0.0;Burkina Faso;90;0.0;0.0;0.0;0.0;1.0;1.0;0/0;6/2;9/3;4.0;0.0;0.0;9.0;0.0;28.0;0.0;0.0;0.0;13.0;69%;7.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.6
J. Kluivert;F;0.0;Netherlands;67;1.0;0.0;0.0;0.0;1.0;2.0;2/0;1/0;11/6;0.0;0.0;0.0;10.0;0.0;34.0;2.0;4.0;0.0;14.0;64%;11.0;1.0;1.0;4.0;1.0;1.0;2.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0
D. Jebbison;F;0.0;Canada;7;0.0;0.0;0.0;0.0;0.0;0.0;0/0;1/0;0/0;0.0;0.0;0.0;2.0;0.0;6.0;0.0;2.0;0.0;4.0;100%;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Alisson;GK;0.0;Brazil;90;0.0;0.0;0.0;0.0;0.0;0.0;0/0;0/0;0/0;0.0;0.0;0.0;3.0;0.0;29.0;0.0;7.0;0.0;23.0;87%;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.2
T. A-Arnold;DR;0.0;England;90;0.0;0.0;0.0;0.0;0.0;0.0;1/1;0/0;5/1;3.0;0.0;0.0;21.0;0.0;102.0;1.0;4.0;0.0;72.0;86%;38.0;15.0;0.0;2.0;0.0;1.0;0.0;2.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.1
I. Konaté;DCR;0.0;France;66;0.0;0.0;0.0;0.0;0.0;0.0;0/0;4/2;5/2;2.0;0.0;0.0;10.0;0.0;50.0;0.0;3.0;0.0;45.0;80%;10.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
V. van Dijk;DCL;0.0;Netherlands;90;0.0;0.0;0.0;0.0;1.0;1.0;1/0;5/5;8/7;7.0;0.0;0.0;7.0;0.0;87.0;0.0;3.0;0.0;74.0;91%;19.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0
